Date,Driving,Transit,Walking
2020-01-13,100.0,100.0,100.0
2020-01-14,101.95,98.45,104.42
2020-01-15,103.48,96.46,104.79
2020-01-16,112.19,105.04,110.5
2020-01-17,124.68,120.4,133.23
2020-01-18,107.62,107.33,122.37
2020-01-19,100.58,93.66,100.68
2020-01-20,104.77,92.37,98.06
2020-01-21,104.16,92.08,101.62
2020-01-22,103.24,91.49,103.46
2020-01-23,97.99,93.31,104.9
2020-01-24,82.12,77.19,97.21
2020-01-25,84.87,77.7,98.59
2020-01-26,85.04,80.27,94.88
2020-01-27,80.35,77.87,85.01
2020-01-28,77.74,73.42,78.54
2020-01-29,79.51,69.6,72.46
2020-01-30,84.99,76.26,81.35
2020-01-31,98.58,90.92,97.23
2020-02-01,89.63,79.48,92.56
2020-02-02,84.3,73.83,76.7
2020-02-03,84.9,77.39,76.38
2020-02-04,87.91,79.2,80.69
2020-02-05,86.66,75.15,80.86
2020-02-06,90.06,76.62,83.76
2020-02-07,96.27,82.71,96.94
2020-02-08,78.64,68.72,84.66
2020-02-09,75.57,62.02,67.46
2020-02-10,77.83,65.32,65.72
2020-02-11,78.98,66.01,63.56
2020-02-12,79.82,67.32,68.26
2020-02-13,84.98,71.54,73.74
2020-02-14,93.03,79.96,89.89
2020-02-15,77.05,67.16,78.75
2020-02-16,73.0,62.47,64.12
2020-02-17,77.12,64.09,66.4
2020-02-18,77.77,65.28,66.27
2020-02-19,79.39,65.97,69.15
2020-02-20,83.23,69.44,69.64
2020-02-21,92.76,79.72,84.98
2020-02-22,81.13,71.6,78.55
2020-02-23,76.11,64.17,63.35
2020-02-24,78.15,64.06,63.19
2020-02-25,79.54,65.47,66.4
2020-02-26,81.05,70.42,68.18
2020-02-27,83.14,71.92,69.5
2020-02-28,93.76,81.48,85.62
2020-02-29,82.91,72.34,79.27
2020-03-01,77.65,67.37,65.92
2020-03-02,79.17,68.05,65.31
2020-03-03,79.24,69.37,65.96
2020-03-04,81.32,69.48,68.43
2020-03-05,85.11,73.18,69.33
2020-03-06,94.99,81.88,84.43
2020-03-07,81.06,71.49,75.32
2020-03-08,77.08,65.74,62.08
2020-03-09,77.37,66.03,62.11
2020-03-10,79.71,68.47,64.7
2020-03-11,78.92,68.05,63.38
2020-03-12,79.9,68.33,64.32
2020-03-13,90.07,79.59,79.65
2020-03-14,78.2,68.72,71.84
2020-03-15,75.54,67.93,61.54
2020-03-16,73.21,65.47,57.76
2020-03-17,78.27,66.84,61.79
2020-03-18,76.03,65.88,59.05
2020-03-19,76.03,65.29,60.35
2020-03-20,82.4,68.99,70.86
2020-03-21,68.64,57.98,59.69
2020-03-22,63.64,51.17,47.5
2020-03-23,65.53,51.62,45.79
2020-03-24,64.92,50.2,47.03
2020-03-25,65.26,48.44,48.46
2020-03-26,66.16,48.45,47.28
2020-03-27,69.19,49.52,54.72
2020-03-28,59.0,41.9,50.0
2020-03-29,60.63,43.9,45.79
2020-03-30,62.49,43.79,43.32
2020-03-31,63.1,45.57,47.08
2020-04-01,62.37,44.39,45.28
2020-04-02,63.77,42.86,44.38
2020-04-03,67.51,42.04,52.39
2020-04-04,60.4,38.73,52.34
2020-04-05,67.85,39.92,51.39
2020-04-06,57.88,31.11,42.6
2020-04-07,41.53,20.82,32.36
2020-04-08,38.14,18.3,30.95
2020-04-09,35.87,15.71,34.31
2020-04-10,37.66,15.42,34.88
2020-04-11,34.53,14.46,36.09
2020-04-12,37.34,15.79,32.33
2020-04-13,36.6,13.99,27.87
2020-04-14,37.98,14.16,27.23
2020-04-15,36.77,12.77,25.82
2020-04-16,38.99,13.18,28.2
2020-04-17,40.78,13.93,30.0
2020-04-18,36.59,12.37,30.72
2020-04-19,38.2,13.76,29.35
2020-04-20,36.78,12.99,27.92
2020-04-21,37.47,12.61,27.71
2020-04-22,37.36,12.12,27.53
2020-04-23,38.4,12.17,25.31
2020-04-24,37.86,12.57,25.87
2020-04-25,34.48,11.74,27.17
2020-04-26,35.94,12.39,25.06
2020-04-27,36.99,13.22,25.66
2020-04-28,37.18,13.11,26.32
2020-04-29,38.37,13.17,26.11
2020-04-30,37.49,12.99,27.22
2020-05-01,39.94,13.27,29.64
2020-05-02,36.42,12.71,29.03
2020-05-03,38.38,14.2,27.62
2020-05-04,39.6,13.72,27.35
2020-05-05,40.14,14.3,28.69
2020-05-06,38.84,13.28,28.99
2020-05-07,43.15,14.91,31.21
2020-05-08,44.61,14.58,33.3
2020-05-09,45.58,13.82,34.56
2020-05-10,42.86,14.49,29.52
2020-05-13,42.48,15.11,29.4
2020-05-14,44.11,15.28,30.3
2020-05-15,47.99,16.09,34.17
2020-05-16,42.49,15.17,31.67
2020-05-17,42.77,16.76,30.82
2020-05-18,43.19,16.11,29.73
2020-05-19,43.42,16.29,29.48
